Zipcode,Consumer Expenditure Current Year Estimates (2020) Average Expenditure Average Alcoholic beverages,Consumer Expenditure Current Year Estimates (2020) Average Expenditure Average Education,Consumer Expenditure Current Year Estimates (2020) Average Expenditure Average Reading,Basic Variables Current Year Estimates (2020) Total Households,Housing Units Current Year Estimates (2020) Housing Value Median Housing Value,Basic Variables Current Year Estimates (2020) School Enrollment (Pop 3+) Total Total Population 3+,Basic Variables Current Year Estimates (2020) Income Household Median Household Income,Basic Variables Current Year Estimates (2020) Population Density
30747,509.14,1054.01,73.29,5988,88558,15649,41159,82.94
30753,512.01,1126.39,71.63,2306,70626,5944,42472,167.77
31006,458.31,931.2,69.43,1667,74635,4148,38888,25.28
31016,570.97,1199.64,78.5,640,133646,1596,55345,16.97
31024,561.83,1068.78,86.44,8535,166778,20315,49870,63.87
31029,523.18,1058.9,70.66,6119,152176,16240,52442,70.47
31038,556.66,1108.66,76.88,278,115339,672,46418,8.48
31061,497.14,983.52,70.28,15926,123185,42411,42774,171.29
31064,605.37,1291.29,82.96,3698,130736,9446,51146,38.08
31085,623.5,1385.93,85.91,345,140348,990,52826,24.33
31097,633.35,1288.96,86.46,509,117301,1210,51791,25.82
31816,482.64,991.62,70.99,2237,96129,5361,33155,152.13
31822,620.49,1281.75,91.77,2397,167466,5826,57012,46.35
31830,581.19,1233.43,81.29,914,106520,2355,39648,44.46
31833,572.22,1152.81,78.13,2856,154714,7094,45685,70.31
36255,376.39,844.24,71.43,361,96043,856,42217,14.16
36258,471.1,1143.77,85.95,714,114525,1666,50255,16.57
36262,453.58,1152.11,82.12,589,94058,1474,49172,15.14
36263,489.92,1042.45,80.98,258,119213,637,44399,27.05
36264,444.69,1067.84,79.42,3522,105699,8533,46310,32.7
36266,443.44,1014.84,76.42,2217,117039,5250,43920,31.86
36268,516.36,1319.56,92.07,2154,123025,5421,50099,57.94
36269,475.48,1231.06,84.89,531,115991,1312,50931,31.33
36272,411.89,1043.49,77.47,5311,106704,12689,44676,41.06
36273,486.14,1178.15,83.04,1148,138029,2837,52406,56.23
36274,473.74,1032.04,75.77,4380,95060,10559,44874,64.66
36276,429.3,977.79,69.43,963,83712,2487,40396,19.38
36278,475.43,1037.88,79.78,1905,133953,4395,43154,33.02
36280,515.63,1082.89,83.69,1559,123715,3773,47271,31.37
